Name,Passport,Snils,Symptoms,Analysis,Doctor,DateStart,DateEnd,Price,Card
Успенский‎ Радомысл Филиппович,4515 959595,597-753-762 78,Головная боль,КТ (компьютерная томография),Генетик,2025-01-24T14:08+03:00,2025-01-23T14:36+03:00,1600.0,5101 2669 7972 6187
Широков‎ Мох Виссарионович,2020 676487,731-799-885 60,Повышенное давление,УЗИ (ультразвуковое исследование),Пульмонолог,2024-07-29T17:53+03:00,2024-07-30T20:11+03:00,3800.0,4188 6861 8501 1289
Аксёнов‎ Возгарь Ефимович,1018 010375,928-550-373 32,Кашель,Гастроэнтероскопия,Кардиолог,2024-11-19T20:20+03:00,2024-11-20T13:39+03:00,5300.0,2200 2406 4951 5241
Туманова Драгана Брониславовна,1302 632300,404-160-588 38,Головная боль,Кровь (общий анализ),Ревматолог,2024-12-11T20:39+03:00,2024-12-12T19:58+03:00,1300.0,2200 2419 1577 3977
Фетисов‎ Бронислав Валентинович,5414 947001,365-981-827 41,Боль в горле,МРТ (магнитно-резонансная томография),Гепатолог,2024-11-27T13:17+03:00,2024-11-28T19:02+03:00,2100.0,5479 4892 1910 0415
Цветкова Градислава Анатольевна,0921 173256,038-444-586 76,Боль в горле,МРТ (магнитно-резонансная томография),Оториноларинголог,2025-03-27T15:00+03:00,2025-03-28T12:38+03:00,5300.0,4377 7247 7576 7950
Белкин‎ Богдан Филатович,4307 504548,230-277-604 38,Боль в горле,Гастроэнтероскопия,Пульмонолог,2024-09-12T20:46+03:00,2024-09-13T17:12+03:00,3200.0,4105 8407 4722 3844
Ермолаева Любица Ксенофонтьевна,1323 928469,195-476-177 21,Слабость,Биохимический анализ крови,Эндокринолог,2025-03-19T16:25+03:00,2025-03-20T14:43+03:00,1400.0,4276 8057 7143 6717
Сурганов‎ Ростислав Авдеевич,7913 749714,697-131-266 22,Слабость,КТ (компьютерная томография),Ревматолог,2025-03-24T14:15+03:00,2025-03-25T17:35+03:00,7600.0,5421 0401 4166 9046
Шевелёва Бажена  Магомедовна,9605 801922,935-759-150 54,Головная боль,Гастроэнтероскопия,Кардиоревматолог,2025-04-08T17:35+03:00,2025-04-09T20:58+03:00,3800.0,2200 2401 1834 5276
Дмитриев‎ Хотимир Феоктистович,0714 963799,860-223-651 82,Температура,Электрокардиограмма (ЭКГ),Ортодонт,2025-01-09T16:52+03:00,2025-01-10T12:49+03:00,2200.0,2202 2081 9346 8592
Булатова Нежана Осиповна,1517 775667,798-757-699 28,Кашель,КТ (компьютерная томография),Физиотерапевт,2024-10-07T14:56+03:00,2024-10-08T14:33+03:00,4600.0,4188 6828 7255 2613
Дьякова Светислава Тельмановна,5610 638822,169-868-778 71,Повышенное давление,Биохимический анализ крови,Гастроэнтеролог,2024-08-16T20:58+03:00,2024-08-15T14:32+03:00,6100.0,2202 2099 9370 1208
Александрова Преслава Каллистратовна,4619 361218,417-241-542 53,Повышенное давление,Кровь (общий анализ),Пульмонолог,2024-08-22T15:19+03:00,2024-08-23T20:24+03:00,6900.0,5479 4872 3831 9739
Субботин‎ Горислав  Гордеевич,4923 200194,420-580-193 45,Кашель,УЗИ (ультразвуковое исследование),Психотерапевт,2025-03-14T16:54+03:00,2025-03-13T14:41+03:00,4900.0,5244 6888 0473 3018
Ильюхина Прибыслава Витальевна,1510 461422,122-333-378 14,Боль в горле,Кровь (общий анализ),Психотерапевт,2024-09-16T20:25+03:00,2024-09-17T21:02+03:00,1300.0,4105 8474 2211 6589
Касьянов‎ Станимир Ярославович,8805 664163,562-057-904 90,Затрудненное дыхание,Рентгенография,Эндокринолог,2024-08-20T14:38+03:00,2024-08-21T18:11+03:00,4600.0,5244 6817 7600 3881
Елизарова Веселина Павловна,6005 602630,247-436-517 85,Насморк,МРТ (магнитно-резонансная томография),Гериатр,2024-11-12T15:17+03:00,2024-11-13T19:09+03:00,9600.0,4377 7239 5641 3219
Алешина Здислава Валерьевна,8621 220083,846-115-968 22,Боль в горле,Рентгенография,Уролог,2024-08-14T16:22+03:00,2024-08-15T18:11+03:00,1800.0,4377 7290 3428 1188
Зорина Миломира Юрьевна,0906 193710,199-093-458 29,Боль в горле,Электрокардиограмма (ЭКГ),Диетолог,2024-08-30T19:36+03:00,2024-08-29T17:26+03:00,8800.0,5421 0469 7732 0995
Горохова Лана Сидоровна,0610 803104,783-988-007 79,Головная боль,Электрокардиограмма (ЭКГ),Неонатолог,2024-11-15T12:41+03:00,2024-11-14T18:04+03:00,6900.0,4276 8028 8202 4874
Царёв‎ Лудислав Никанорович,0516 139739,762-592-658 42,Головная боль,Гастроэнтероскопия,Стоматолог,2025-01-17T19:32+03:00,2025-01-16T20:52+03:00,7400.0,2202 2055 2186 9259
Хромов‎ Миродар Леонович,9922 764154,348-906-752 24,Затрудненное дыхание,Рентгенография,Гепатолог,2024-09-02T12:59+03:00,2024-09-03T14:25+03:00,4300.0,5479 4848 7370 9331
Крючков‎ Добрыня Чеславович,1705 170051,404-699-574 12,Боль в груди,КТ (компьютерная томография),Психиатр,2024-12-19T14:27+03:00,2024-12-20T15:46+03:00,9700.0,4105 8443 2839 9492
Суханова Ярослава Валентиновна,8013 323738,591-875-492 57,Насморк,Кровь (общий анализ),Стоматолог,2024-11-27T13:10+03:00,2024-11-28T13:15+03:00,9100.0,5479 4872 8548 5212
Савицкий‎ Богуслав Ерофеевич,8210 667448,682-484-920 41,Боль в горле,Биохимический анализ крови,Неонатолог,2024-08-07T16:19+03:00,2024-08-08T20:13+03:00,1300.0,4377 7250 4112 8350
Малахов‎ Ростих Васильевич,2223 531802,070-176-032 28,Слабость,УЗИ (ультразвуковое исследование),Психотерапевт,2024-09-12T18:47+03:00,2024-09-13T12:17+03:00,8200.0,4276 8059 6101 8272
Емельянова Нежана Марковна,3216 830410,837-209-498 29,Затрудненное дыхание,МРТ (магнитно-резонансная томография),Онкогинеколог,2025-03-21T14:09+03:00,2025-03-20T12:33+03:00,8100.0,2202 2046 4683 3281
Зеленин‎ Родислав Олегович,3215 807159,637-966-919 71,Повышенное давление,УЗИ (ультразвуковое исследование),Гастроэнтеролог,2024-09-06T18:31+03:00,2024-09-05T12:41+03:00,8800.0,5244 6822 9561 3312
Власов‎ Чеслав Арсеньевич,9421 961002,838-663-391 56,Слабость,Рентгенография,Ревматолог,2025-02-12T19:32+03:00,2025-02-13T18:38+03:00,7700.0,4105 8458 5525 9504
Муромцев‎ Ёрш Аркадьевич,3617 251192,928-107-483 16,Кашель,КТ (компьютерная томография),Иммунолог,2024-11-15T15:00+03:00,2024-11-14T14:23+03:00,5400.0,4276 8095 0868 0313
Антипов‎ Мухомор Авенирович,0617 793392,031-866-996 83,Насморк,Электрокардиограмма (ЭКГ),УЗИ-специалист,2025-01-24T17:03+03:00,2025-01-23T18:13+03:00,8200.0,2202 1512 2088 9305
Щеглова Видана Мунавировна,5315 608247,104-737-718 52,Боль в груди,Кровь (общий анализ),Нефролог,2025-03-06T14:31+03:00,2025-03-07T17:38+03:00,8100.0,5421 0481 2719 2270
Голикова Любомила Никодимовна,3705 808070,411-180-387 28,Насморк,КТ (компьютерная томография),Неонатолог,2024-10-10T14:55+03:00,2024-10-11T20:39+03:00,7400.0,2202 2075 7986 1850
Хрущёв‎ Доброслав  Феодосьевич,1605 534066,251-527-696 74,Кашель,Электрокардиограмма (ЭКГ),Онкогинеколог,2024-10-24T18:19+03:00,2024-10-25T16:44+03:00,9500.0,4105 8459 6814 8627
Назаров‎ Градимир Теймуразович,5407 470637,937-710-543 25,Повышенное давление,МРТ (магнитно-резонансная томография),УЗИ-специалист,2025-04-09T17:22+03:00,2025-04-10T19:42+03:00,5100.0,4377 7258 1999 5839
Копылов‎ Онагост Ильсурович,7906 058621,048-689-491 29,Затрудненное дыхание,УЗИ (ультразвуковое исследование),Пульмонолог,2024-09-02T16:52+03:00,2024-09-03T16:02+03:00,5100.0,2200 7018 7305 3322
Ермакова Драгомира Афанасьевна,6015 777260,320-624-752 37,Слабость,Электрокардиограмма (ЭКГ),Фтизиатр,2024-10-16T12:13+03:00,2024-10-17T12:49+03:00,8400.0,2200 2406 8398 8383
Гакабов‎ Волибор Ермилович,9012 502011,720-148-280 58,Кашель,Гастроэнтероскопия,Кардиоревматолог,2024-09-18T16:44+03:00,2024-09-19T14:12+03:00,7000.0,2200 7030 5223 2282
Бессонов‎ Хотен Матвеевич,9606 341122,312-348-556 49,Повышенное давление,Электрокардиограмма (ЭКГ),Онколог,2024-11-08T17:16+03:00,2024-11-07T12:22+03:00,3800.0,5421 0404 4927 0030
Афанасьев‎ Световлад Юлианович,8823 584987,286-331-037 73,Повышенное давление,Рентгенография,Онкоуролог,2025-04-11T15:57+03:00,2025-04-10T12:09+03:00,2400.0,2200 7097 7633 2434
Фокина Казимира Макаровна,6322 306346,997-893-016 12,Боль в горле,Кровь (общий анализ),Гастроэнтеролог,2025-02-25T17:00+03:00,2025-02-26T19:38+03:00,4300.0,5421 0441 9371 9974
Петухов‎ Остромир Архипович,3004 336719,836-743-172 29,Повышенное давление,Кровь (общий анализ),Кардиоревматолог,2024-07-26T13:23+03:00,2024-07-25T14:02+03:00,2600.0,2200 2467 5088 8346
Рогов‎ Борщ Ермилович,8409 222056,671-100-420 38,Повышенное давление,УЗИ (ультразвуковое исследование),Гастроэнтеролог,2024-12-19T17:57+03:00,2024-12-20T20:21+03:00,8000.0,2200 7051 8024 3407
Белоусова Видана Никитична,9218 581638,168-500-263 63,Температура,МРТ (магнитно-резонансная томография),Гепатолог,2025-02-20T15:25+03:00,2025-02-21T16:39+03:00,1300.0,5479 4853 1858 0682
Черняева Голуба Георгиевна,7400 033002,832-673-192 14,Боль в груди,Электрокардиограмма (ЭКГ),Психиатр,2025-04-25T19:36+03:00,2025-04-24T18:27+03:00,8000.0,2200 7062 1242 9112
Константинов‎ Любомир  Рустамович,5604 849079,729-294-352 34,Боль в груди,УЗИ (ультразвуковое исследование),Офтальмолог,2024-12-16T18:35+03:00,2024-12-17T16:28+03:00,9200.0,4377 7243 3178 5732
Дубинин‎ Мох Харламович,7713 781960,122-880-632 52,Головная боль,Гастроэнтероскопия,Кардиолог,2025-05-09T14:54+03:00,2025-05-08T18:37+03:00,2200.0,2202 2018 7058 8867
Свиридова Благослава Сидоровна,1416 056111,089-007-218 70,Повышенное давление,УЗИ (ультразвуковое исследование),Эндокринолог,2024-12-09T20:07+03:00,2024-12-10T12:59+03:00,9900.0,4276 8071 2787 3640
Дорохов‎ Градислав  Вадимович,2116 101870,092-825-882 04,Кашель,Электрокардиограмма (ЭКГ),Нефролог,2024-11-05T20:38+03:00,2024-11-06T13:35+03:00,4900.0,4188 6859 6017 4543
Богданова Лана Брониславовна,2309 650974,710-569-748 02,Повышенное давление,УЗИ (ультразвуковое исследование),Ревматолог,2024-08-09T20:18+03:00,2024-08-08T16:22+03:00,7500.0,2202 2088 0293 3257
Шевелёва Добромира Витальевна,3010 958407,123-244-201 00,Одышка,Кровь (общий анализ),Оториноларинголог,2025-02-18T12:10+03:00,2025-02-19T17:24+03:00,6300.0,2200 2454 5538 9439
Белоусова Любава Ярославовна,5808 559514,265-868-524 32,Головная боль,Рентгенография,Физиотерапевт,2025-01-09T17:14+03:00,2025-01-10T18:41+03:00,9900.0,4377 7289 6736 1688
Фомичев‎ Крив Андроникович,3216 695157,809-514-525 08,Температура,КТ (компьютерная томография),Эндоскопист,2024-08-29T15:06+03:00,2024-08-30T19:30+03:00,8100.0,4105 8413 9446 8077
Алёхина Голуба Никандровна,1420 497467,422-444-986 74,Головная боль,УЗИ (ультразвуковое исследование),Психотерапевт,2024-11-07T14:29+03:00,2024-11-08T16:58+03:00,3000.0,2202 1547 5514 9028
Мешков‎ Добромысл  Кириллович,1016 923041,507-952-286 07,Затрудненное дыхание,Биохимический анализ крови,УЗИ-специалист,2024-07-18T12:28+03:00,2024-07-19T19:33+03:00,1800.0,4377 7215 9344 5539
Горбань‎ Геннадий Терентьевич,0811 872865,143-397-187 78,Кашель,Биохимический анализ крови,УЗИ-специалист,2025-03-06T16:40+03:00,2025-03-07T14:09+03:00,8100.0,4188 6821 4771 0413
Аникина Ель Борисовна,3023 634538,675-734-987 66,Слабость,УЗИ (ультразвуковое исследование),Гепатолог,2025-01-07T19:58+03:00,2025-01-08T15:19+03:00,2600.0,2200 7091 2751 8813
Лавров‎ Любослав Анисимович,5417 194385,044-589-667 01,Одышка,УЗИ (ультразвуковое исследование),Нефролог,2024-08-20T14:55+03:00,2024-08-21T15:58+03:00,1300.0,5421 0480 5076 6152
Серов‎ Звонимир  Сильвестрович,2320 581178,913-474-367 11,Одышка,УЗИ (ультразвуковое исследование),Гастроэнтеролог,2024-08-23T18:24+03:00,2024-08-22T15:15+03:00,9400.0,4377 7268 6407 9698
Орехов‎ Стоум Феодосьевич,3217 687233,348-101-957 68,Одышка,КТ (компьютерная томография),Лор,2025-02-05T19:57+03:00,2025-02-06T12:21+03:00,8500.0,5421 0451 4935 3838
Горячев‎ Горан Леонтьевич,3304 831232,926-412-521 95,Одышка,Рентгенография,Педиатр,2024-11-15T15:55+03:00,2024-11-14T17:36+03:00,5100.0,5421 0421 5103 0919
Серов‎ Витигост Валерианович,7012 414673,745-373-650 21,Затрудненное дыхание,УЗИ (ультразвуковое исследование),Кардиоревматолог,2025-02-07T14:37+03:00,2025-02-06T20:35+03:00,8500.0,4188 6802 9102 3243
Воронина Доброгнева Фёдоровна,7303 376434,555-317-963 11,Боль в горле,УЗИ (ультразвуковое исследование),Неонатолог,2025-04-25T18:36+03:00,2025-04-24T12:19+03:00,4800.0,2200 2492 8496 7441
Зюганова Алиса Афанасьевна,6000 239410,052-916-127 50,Головная боль,Электрокардиограмма (ЭКГ),Кардиоревматолог,2024-09-10T12:04+03:00,2024-09-11T20:08+03:00,7300.0,5479 4815 0021 0670
Безруков‎ Хотеслав Магометович,8805 939014,298-919-530 60,Затрудненное дыхание,Гастроэнтероскопия,Гериатр,2025-01-10T20:58+03:00,2025-01-09T13:33+03:00,3400.0,5101 2642 1880 4795
Суркова Милослава Кузьминична,0907 527317,003-351-810 94,Температура,Гастроэнтероскопия,Онколог,2024-10-25T13:48+03:00,2024-10-24T17:20+03:00,3300.0,4105 8435 9916 9965
Александрова Велислава Михайловна,5614 324021,951-702-198 05,Насморк,КТ (компьютерная томография),Ортодонт,2025-01-02T15:53+03:00,2025-01-03T12:41+03:00,9800.0,2202 1574 8646 6474
Смирнова Радосвета Фёдоровна,6623 579133,267-751-319 04,Боль в горле,Рентгенография,Диетолог,2024-12-30T13:27+03:00,2024-12-31T15:24+03:00,3500.0,5479 4849 5914 2854
Большаков‎ Доброгост  Борисович,5823 632376,598-362-758 66,Кашель,КТ (компьютерная томография),Психиатр,2025-04-28T20:41+03:00,2025-04-29T12:41+03:00,7000.0,2200 2402 5562 5007
Чеботарёва Ружица Ахматовна,4400 650219,521-115-386 29,Боль в груди,Рентгенография,Фтизиатр,2024-10-24T17:20+03:00,2024-10-25T14:25+03:00,9600.0,5421 0428 3965 7969
Суханов‎ Далибор Ильгизович,7418 966539,918-464-387 45,Одышка,МРТ (магнитно-резонансная томография),Онкогинеколог,2024-08-30T20:30+03:00,2024-08-29T12:28+03:00,8200.0,4377 7231 4656 8269
Фёдоров‎ Ахмыл Наумович,6901 264252,362-951-298 02,Головная боль,УЗИ (ультразвуковое исследование),Стоматолог,2024-11-21T18:58+03:00,2024-11-22T15:16+03:00,3300.0,2200 2479 6115 2550
Горшкова Болеслава Аркадьевна,2919 781142,131-817-657 55,Температура,Гастроэнтероскопия,Онкогинеколог,2025-04-21T20:24+03:00,2025-04-22T16:23+03:00,6000.0,4377 7288 8809 5308
Плотников‎ Златомир Алексеевич,7817 354559,303-885-061 68,Боль в горле,Электрокардиограмма (ЭКГ),Невропатолог,2024-07-15T12:27+03:00,2024-07-16T13:38+03:00,3700.0,2202 2013 4568 4109
Исаева Златоцвета Валентиновна,4522 416527,239-181-466 84,Боль в груди,Биохимический анализ крови,Эндоскопист,2024-08-23T13:44+03:00,2024-08-22T20:43+03:00,2200.0,5479 4864 3778 0788
Медейко‎ Некрас Власович,6920 332069,197-229-317 04,Затрудненное дыхание,Кровь (общий анализ),Аллерголог,2024-12-13T19:03+03:00,2024-12-12T13:16+03:00,5400.0,5421 0402 8495 8058
Кислов‎ Добромысл  Демьянович,6202 640238,634-187-863 17,Боль в груди,Электрокардиограмма (ЭКГ),Онколог,2024-09-20T18:00+03:00,2024-09-19T13:45+03:00,1100.0,4276 8061 2620 3813
Титова Смиляна Вадимовна,8702 116983,994-111-729 28,Кашель,МРТ (магнитно-резонансная томография),Ревматолог,2024-10-28T20:44+03:00,2024-10-29T12:44+03:00,7200.0,2202 2060 4474 0520
Севастьянов‎ Светозар Макарович,3209 084246,645-584-512 24,Слабость,УЗИ (ультразвуковое исследование),Невролог,2024-10-16T20:40+03:00,2024-10-17T20:56+03:00,3800.0,4105 8408 2849 7423
Агафонова Томила Сильвестровна,9811 334419,542-945-589 23,Боль в горле,Рентгенография,Невролог,2025-01-24T18:19+03:00,2025-01-23T12:09+03:00,5300.0,2200 2486 8871 4962
Харитонова Смиляна Генриховна,8508 393255,233-136-129 23,Температура,Биохимический анализ крови,Невролог,2024-08-27T12:21+03:00,2024-08-28T13:19+03:00,7100.0,4377 7287 2543 4085
Астафьев‎ Илья Борисович,4711 711670,703-792-481 06,Боль в груди,КТ (компьютерная томография),Иммунолог,2024-12-06T12:26+03:00,2024-12-05T13:00+03:00,4700.0,4105 8403 9918 3875
Сазонова Всеслава Андреевна,6608 978996,753-504-891 11,Слабость,МРТ (магнитно-резонансная томография),Неонатолог,2025-03-13T18:16+03:00,2025-03-14T14:57+03:00,6500.0,2200 2426 9819 6879
Куприянов‎ Ратибор Борисыч,9812 515072,050-534-430 18,Затрудненное дыхание,УЗИ (ультразвуковое исследование),Гастроэнтеролог,2025-01-17T15:24+03:00,2025-01-16T20:50+03:00,6700.0,4377 7293 4901 7669
Муратов‎ Ярослав Эдгарович,1622 999934,605-784-876 29,Боль в груди,Электрокардиограмма (ЭКГ),Кардиоревматолог,2024-11-21T19:41+03:00,2024-11-22T15:18+03:00,6500.0,5244 6828 4557 0970
Светличная Берислава Никитовна,8723 940893,526-630-797 99,Слабость,Рентгенография,Физиотерапевт,2025-04-28T20:22+03:00,2025-04-29T14:43+03:00,1500.0,4105 8490 5434 8038
Потапов‎ Вадим Ваганович,1800 948156,145-517-417 59,Боль в груди,МРТ (магнитно-резонансная томография),Педиатр,2025-03-27T18:36+03:00,2025-03-28T15:08+03:00,1900.0,2202 1597 4663 9333
Масленников‎ Велерад Бориславич,6516 719329,712-390-652 77,Кашель,УЗИ (ультразвуковое исследование),Оториноларинголог,2025-02-28T15:09+03:00,2025-02-27T12:10+03:00,5900.0,2200 7091 9357 7076
Костин‎ Мыслимир Тарасович,2222 061720,002-575-958 43,Боль в горле,Биохимический анализ крови,Онкогинеколог,2024-08-07T13:25+03:00,2024-08-08T20:47+03:00,1300.0,2200 2410 4687 1311
Бобров‎ Радовлад Никитич,1916 367922,153-670-976 87,Боль в груди,Гастроэнтероскопия,Кардиолог,2024-12-13T19:45+03:00,2024-12-12T12:19+03:00,7800.0,5479 4855 6943 9812
Зубкова Радимира Леонидовна,2104 678894,332-593-377 81,Головная боль,Электрокардиограмма (ЭКГ),Неонатолог,2025-01-15T14:28+03:00,2025-01-16T12:49+03:00,2800.0,5479 4812 8754 5813
Сидоров‎ Горыня Тимофеевич,9911 791941,507-619-387 01,Одышка,Биохимический анализ крови,Эндокринолог,2024-09-11T15:03+03:00,2024-09-12T20:50+03:00,7200.0,5479 4821 2107 8816
Пантелеев‎ Любим  Еремеевич,3008 430210,440-236-873 59,Головная боль,КТ (компьютерная томография),Психиатр,2024-12-19T19:55+03:00,2024-12-20T12:21+03:00,5800.0,4188 6821 7947 6775
Кузнецов‎ Любомысл Абрамович,5904 472187,569-276-833 58,Температура,Кровь (общий анализ),Нефролог,2024-07-18T16:24+03:00,2024-07-19T20:42+03:00,6700.0,4276 8014 6887 5370
Мальцев‎ Ладислав Владимирович,5513 718403,414-932-066 66,Головная боль,МРТ (магнитно-резонансная томография),Физиотерапевт,2024-10-11T16:27+03:00,2024-10-10T12:36+03:00,5200.0,2202 1506 9785 7355
Блохина Горислава Прохоровна,2620 553495,556-252-370 94,Слабость,Кровь (общий анализ),Кардиоревматолог,2024-09-04T14:46+03:00,2024-09-05T20:16+03:00,1600.0,4377 7202 1706 4506
Горбачёва Новица Каллистратовна,4011 086111,297-970-324 43,Затрудненное дыхание,Кровь (общий анализ),Косметолог,2025-03-24T16:42+03:00,2025-03-25T19:06+03:00,7900.0,5479 4868 9930 4511
Прошина Тихомира Степановна,0900 055110,841-447-005 87,Боль в горле,МРТ (магнитно-резонансная томография),Травматолог,2024-09-25T16:32+03:00,2024-09-26T20:16+03:00,8200.0,2202 1509 8496 0228
Мешков‎ Владислав  Богданович,8618 280699,721-759-593 23,Температура,Кровь (общий анализ),Гастроэнтеролог,2025-04-01T18:07+03:00,2025-04-02T14:34+03:00,2800.0,2200 2441 2650 9843
Антонова Всемила Аркадьевна,6622 891004,342-935-480 89,Кашель,Биохимический анализ крови,Пульмонолог,2025-01-13T16:27+03:00,2025-01-14T18:46+03:00,2900.0,5421 0429 8653 0172
Колесников‎ Доброгост  Гордеевич,2700 976838,169-492-258 19,Боль в груди,Кровь (общий анализ),Диетолог,2024-07-18T15:34+03:00,2024-07-19T14:10+03:00,5500.0,5101 2698 6713 6847
Тарасов‎ Чернек Ильясович,2918 435204,001-210-999 78,Повышенное давление,МРТ (магнитно-резонансная томография),Гастроэнтеролог,2025-05-09T13:41+03:00,2025-05-08T15:41+03:00,3400.0,4276 8060 7823 3143
Богомолова Тихомира Павловна,3916 901051,433-371-062 51,Боль в горле,МРТ (магнитно-резонансная томография),Уролог,2024-08-23T14:03+03:00,2024-08-22T19:18+03:00,1500.0,4377 7295 3748 8905
Гончарова Владимира Игоревна,2100 675018,184-094-839 00,Боль в горле,Кровь (общий анализ),Гастроэнтеролог,2024-10-08T18:13+03:00,2024-10-09T20:48+03:00,1300.0,2200 7035 3305 8739
Шубина Любомила Виссарионовна,0603 701581,704-521-904 65,Одышка,МРТ (магнитно-резонансная томография),Неонатолог,2025-01-27T19:08+03:00,2025-01-28T19:49+03:00,3700.0,2202 1542 1084 8380
Губанова Голуба Григорьевна,6401 221879,893-632-248 44,Температура,Рентгенография,Пульмонолог,2024-11-21T13:21+03:00,2024-11-22T19:23+03:00,7500.0,2200 2458 2246 0902
Ершов‎ Слободан Устинович,0815 865452,354-852-596 13,Температура,Рентгенография,Оториноларинголог,2025-05-09T14:25+03:00,2025-05-08T12:06+03:00,6100.0,4276 8001 2504 4664
Черепанов‎ Храбр Олегович,3702 821490,475-170-197 95,Кашель,Электрокардиограмма (ЭКГ),Ревматолог,2024-12-04T17:00+03:00,2024-12-05T18:37+03:00,6400.0,4188 6882 9860 5027
Золотарева Богдана Станиславовна,1712 627689,441-637-625 80,Головная боль,Биохимический анализ крови,Оториноларинголог,2024-11-21T20:34+03:00,2024-11-22T19:18+03:00,8200.0,5421 0447 7803 7037
Карпов‎ Людмил Прохорович,7000 394928,764-660-932 38,Кашель,КТ (компьютерная томография),Уролог,2024-11-05T17:06+03:00,2024-11-06T20:32+03:00,6300.0,5479 4843 8736 5077
Мухин‎ Властимир Феодосьевич,9019 179979,555-386-792 41,Одышка,КТ (компьютерная томография),Гематолог,2024-09-13T19:01+03:00,2024-09-12T14:42+03:00,7200.0,5244 6871 0515 6689
Худяков‎ Всемысл  Ермилович,7101 659262,942-086-883 32,Одышка,Биохимический анализ крови,Ревматолог,2024-08-26T20:19+03:00,2024-08-27T18:50+03:00,2100.0,4276 8039 5844 9043
Марков‎ Радимир Магометович,5209 159950,311-926-733 59,Повышенное давление,Электрокардиограмма (ЭКГ),Онкоуролог,2024-07-24T20:50+03:00,2024-07-25T20:03+03:00,3700.0,2200 2405 0805 9540
Яковлев‎ Лан Ефремович,3406 552895,059-465-121 84,Слабость,Кровь (общий анализ),Нефролог,2025-02-26T12:36+03:00,2025-02-27T13:51+03:00,5900.0,2202 1596 1164 5279
Сальникова Бронислава Осиповна,5811 618142,874-213-628 13,Кашель,Рентгенография,Онкогинеколог,2024-09-04T12:17+03:00,2024-09-05T15:34+03:00,8600.0,2200 2499 7032 1567
